"","timestamp","Dperiods","Ex","Mc","Rs","Ra","Os","Cs","Rps","Rms","Dc","La","Pf","Cp","Ds"
"48","1479938400000","2.4","2.0","5.067499656461604","9.093499760314758","9.922897330544998","2.3429130423925413","4.910266193903513","5.00615108675041","4.539409828323879","5.762308001876823","9.104388170512902","6.621533136178054","10.0","15.206676232290047"
"49","1480024800000","2.466666666666667","2.055555555555556","4.977927149704833","9.072463487354085","9.923913526193282","2.378828850975958","4.865887903620622","4.989142938166379","4.558024499704583","5.7784615819464165","9.1036714936817","6.523057294129399","10.0","15.436199691904221"
"50","1480284000000","2.533333333333333","2.111111111111111","5.036649365243964","9.052915483900785","9.92641211219406","2.624396907085904","4.838925816274072","4.996188340415528","4.583203814539162","5.805294314681021","9.110563446152604","6.421835075794123","10.0","15.816221178236994"
"51","1480370400000","2.6","2.166666666666667","5.2743286887100576","9.034701348095815","9.928806232269803","2.681915175374483","4.852826083613943","5.019160383178578","4.6003439776010415","5.8167364598905245","9.087044999705594","6.666771572384698","10.0","16.602179522886047"
"52","1480456800000","2.6666666666666665","2.2222222222222223","5.357764787496711","9.017687293876756","9.930888020442307","2.7280742759559806","4.620712717691603","4.9732330895677626","4.577197642063245","5.841890132307731","9.102148334993181","7.47340852540805","10.0","17.767662774411566"
"53","1480543200000","2.7333333333333334","2.277777777777778","5.298898577762854","9.001756820797429","9.931865587987351","2.7979771340594164","4.72825687593819","4.969292127469679","4.560156376572987","5.816309469975934","9.093938799123906","6.986272273570762","10.0","17.675148782732872"
"54","1480629600000","2.8","2.3333333333333335","5.1656478991698425","8.98680800916302","9.932866654222524","2.8958753426730444","4.690606426985689","4.843442241739048","4.530902290933414","5.801586894767148","9.067500288549446","6.883195102459352","10.0","17.843379874409692"
"55","1480888800000","2.8666666666666667","2.388888888888889","5.117543906172709","8.978135329844115","9.934179906082859","2.9035326086956523","4.641392820916877","4.825255942411245","4.500888879849133","5.8126954045949795","9.059599845062145","6.384436488131806","10.0","17.653918350815598"
"56","1480975200000","2.9333333333333336","2.4444444444444446","5.073032969393113","8.969963579748102","9.93562024259927","2.9416835999655957","4.534804909384601","4.8141041407904055","4.586971115242556","5.756817123703924","9.062048941276394","6.566573349405028","10.0","18.164691422815682"
"57","1481061600000","3.0","2.5","5.045504777383712","8.962249645831918","9.936520449536147","3.1318399419729204","4.6113621426224105","4.7545418053642114","4.584110636202988","5.765283049930151","9.061013007636959","6.675542597736571","10.0","18.691413483498163"
"58","1481148000000","3.066666666666667","2.555555555555556","5.226265978164588","8.961183530160618","9.938020022642462","3.2603608999212472","4.525878826546084","4.718902929875185","4.599302370731992","5.75623811196055","8.879389728381678","7.6216211133884855","10.0","20.213148377418584"
"59","1481234400000","3.1333333333333333","2.611111111111111","5.330644657892016","8.960172024389761","9.93931608268875","3.410210622986929","4.782867446183479","4.659028138754346","4.607681966495916","5.6845439343212165","8.805599362521754","8.251931656149107","10.0","21.493984549027374"
"60","1481493600000","3.2","2.666666666666667","5.412208478398175","8.934389666170325","9.958525230605867","3.307205995540494","4.8359819045798895","4.645038786311126","4.644588288559548","5.672602992420499","8.920598845562367","8.259020444203468","10.0","21.988266080518052"
"61","1481580000000","3.2666666666666666","2.7222222222222223","5.475495266335014","8.90700568153443","9.999099663276285","3.350967858394299","4.9964379483837345","4.597165412076938","4.621918033988651","5.632266301649228","8.953649604160208","8.441490025570097","10.0","22.709884215412195"
"62","1481666400000","3.3333333333333335","2.777777777777778","5.497483642868312","8.873999346074582","9.999092311060265","3.368638493936266","4.839208677743996","4.614608010437878","4.5989657738996215","5.632415080547836","8.963946576439124","8.483798576258323","10.0","23.125356975157455"
"63","1481752800000","3.4","2.8333333333333335","5.48753958525755","8.845308102073368","10.0","3.343238152507066","4.884769157142245","4.587892500358649","4.5804972291295964","5.625453370920971","8.981609616962608","8.616368223291312","10.0","23.66686997687961"
"64","1481839200000","3.466666666666667","2.8888888888888893","5.4554174575348","8.817947501087813","10.0","3.3398351255882193","4.841704145662405","4.537938378728674","4.502506174918267","5.639689091871013","8.922352868816652","8.120364940656042","10.0","23.36402397112844"
"65","1482098400000","3.533333333333333","2.9444444444444446","5.577916390753172","8.791824143781957","10.0","3.3162044231666554","4.690045381224598","4.273449357740126","4.203769911740376","5.4870288058488565","8.676482195446543","7.543837040222852","10.0","22.91907428335492"
